date,treat,date1,rep ,chl,ph,no3,nh4,temp
6/22/2017,0.5,11,4,193.2,9.2,0.39,1.97,24
6/22/2017,0.5,11,5,207.9,9.2,0.36,0.95,23.8
6/22/2017,3,11,1,268.6,9.6,0.4,0.85,24.1
6/22/2017,3,11,2,185.5,9.3,0.34,1.02,23.9
6/22/2017,3,11,3,241.8,9.4,0.46,0.8,24.1
6/22/2017,3,11,4,239.7,9.8,0.39,0.63,24.1
6/22/2017,3,11,5,216.2,9.1,0.37,0.91,23.9
6/22/2017,9,11,1,227.7,8.9,0.48,1.39,23.7
6/22/2017,9,11,2,178,8.8,0.46,1.46,23.8
6/22/2017,9,11,3,162.5,9.2,0.6,1.43,24.3
6/22/2017,9,11,4,291.8,9.1,0.46,1.34,23.8
6/22/2017,9,11,5,250.9,8.7,0.62,1.52,23.8
6/22/2017,27,11,1,451.2,9.7,0.63,0.97,23.2
6/22/2017,27,11,2,408,9.5,0.6,1.08,23.6
6/22/2017,27,11,3,284.9,9.5,0.52,1.14,23.7
6/22/2017,27,11,4,216.5,8.6,0.76,20.26,23.7
6/22/2017,27,11,5,213.4,8.5,0.48,3.04,23.5
6/22/2017,54,11,1,428.8,9.7,1,3.13,23.5
6/22/2017,54,11,2,458.8,9.5,1.06,8.52,23.5
6/22/2017,54,11,3,566.8,9.3,0.85,2.08,23.3
6/22/2017,54,11,4,548.8,9.7,0.9,4.66,24.5
6/22/2017,54,11,5,506.4,9.7,0.98,3.36,23.4
6/22/2017,108,11,1,794.4,8.4,1.4,34.18,23.3
6/22/2017,108,11,2,565.2,8.3,1.39,25.13,23.2
6/22/2017,108,11,3,520.4,8.4,1.25,25.26,23.3
6/22/2017,108,11,4,469.2,8.5,1.34,31.04,23.5
6/22/2017,108,11,5,591.2,8.4,1.58,34.04,23.4
