Rep,Treatment,control,Time_chl_1,Chl_time_1,chl1,Time_nh4_1,Nh4_time_1,nh41,ph1,temp1,Time_chl_2,Chl_time_2,chl2,Time_nh4_2,Nh4_time_2,Chl_Time_Diff,Nh4_Time_Diff,nh42,ph2,temp2,Num_Daphnia,baby,dead,date
28,4,1,,10:51:00 AM,22.92,,11:20:00 AM,18.97,8.6,19.5,,4:52:00 PM,18.89,,05:21:00 PM,361.00,,17.78,8.6,19.7,11,,0,1_15_18
29,4,1,,12:19:00 PM,22.86,,12:49:00 PM,13.92,8.5,19.9,,6:17:00 PM,15.81,,07:00:00 PM,358.00,,15.43,8.5,19.9,10,,0,1_15_18
30,4,2,,9:19:00 AM,19.97,,9:50:00 AM,16.4,8.8,19.5,,3:18:00 PM,19.15,,03:53:00 PM,359.00,,15.99,8.6,20.2,0,,0,1_15_18
31,4,2,,9:48:00 AM,21.19,,10:18:00 AM,13.61,8.7,19.6,,3:47:00 PM,9.048,,04:17:00 PM,359.00,,13.59,8.8,19.8,0,,0,1_15_18
32,4,2,,11:43:00 AM,19.33,,12:22:00 PM,16.25,8.7,19.7,,5:42:00 PM,21.33,,06:25:00 PM,359.00,,14.3,8.7,19.7,0,,0,1_15_18
33,5,1,,8:02:00 AM,3.169,,8:17:00 AM,17.71,8.7,19.9,,1:58:00 PM,0.981,,02:10:00 PM,356.00,,10.78,8.6,20.4,10,,0,1_15_18
34,5,1,,8:31:00 AM,3.245,,8:57:00 AM,14.93,8.4,19.7,,2:28:00 PM,1.088,,02:47:00 PM,357.00,,10.52,8.5,20.1,11,,0,1_15_18
35,5,1,,10:22:00 AM,2.923,,11:02:00 AM,10.6,8.5,19.6,,4:29:00 PM,1.168,,04:51:00 PM,367.00,,11.62,8.6,19.8,8,,1,1_15_18
36,5,1,,10:57:00 AM,3.005,,11:23:00 AM,14.93,8.6,19.5,,4:53:00 PM,2.194,,05:25:00 PM,356.00,,14.31,8.4,20,8,,2,1_15_18
37,5,1,,11:21:00 AM,2.764,,11:52:00 AM,13.8,8.6,19.6,,5:22:00 PM,1.164,,05:53:00 PM,361.00,,13.48,8.6,19.4,9,,1,1_15_18
38,5,2,,9:22:00 AM,2.701,,9:53:00 AM,12.52,8.8,19.6,,3:21:00 PM,2.885,,03:56:00 PM,359.00,,13.54,8.6,20.3,0,,0,1_15_18
