"","param","quant","value","treat","rep","param2"
"405","p[1]","X97.5.",0.631119656456185,"4","2.RDS","a"
"406","p[2]","X2.5.",0.230169069875565,"4","2.RDS","k"
"407","p[2]","X25.",0.394791211385376,"4","2.RDS","k"
"408","p[2]","X50.",0.5365641998768,"4","2.RDS","k"
"409","p[2]","X75.",0.750168024620645,"4","2.RDS","k"
"410","p[2]","X97.5.",1.40668989275281,"4","2.RDS","k"
"411","p[3]","X2.5.",0.211833186730572,"4","2.RDS","l"
"412","p[3]","X25.",0.308381348174918,"4","2.RDS","l"
"413","p[3]","X50.",0.383731785347544,"4","2.RDS","l"
"414","p[3]","X75.",0.479217561856232,"4","2.RDS","l"
"415","p[3]","X97.5.",0.80213841994896,"4","2.RDS","l"
"416","p[4]","X2.5.",0.298776488722024,"4","2.RDS","death1"
"417","p[4]","X25.",0.514256935157269,"4","2.RDS","death1"
